"Product Name","Description","Job Level","Languages","Test Duration","Test Type","Remote Testing"
"Claims/Operations Supervisor Solution","Assessment for managing hourly employees and daily tasks.","Manager","English (USA)","48","Personality & Behavior;Simulation;Ability & Aptitude;Biodata & Situational Judgement","Yes"
"Contact Center Customer Service + 8.0","Entry-level contact center test with simulation and behavior check.","Entry-Level","English (USA);English International;French;German;Latin American Spanish;Chinese Simplified;Portuguese (Brazil);Japanese","41","Ability & Aptitude;Biodata & Situational Judgement;Competencies;Personality & Behavior;Simulation","Yes"
"Contact Center Customer Service 8.0","Assessment for entry-level contact center customer service roles.","Entry-Level","English (USA);German;Portuguese (Brazil);English International;Latin American Spanish;French (Canada);French","31","Simulation;Biodata & Situational Judgement;Competencies;Personality & Behavior","Yes"
"Contact Center Manager - Short Form","Test for mid-level contact center managers and supervisors.","Manager;Supervisor;Front Line Manager","English (USA)","50","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior;Simulation","Yes"
"Account Manager Solution","Assessment for mid-level account management roles.","Mid-Professional","English (USA)","49","Competencies;Personality & Behavior;Ability & Aptitude;Biodata & Situational Judgement","Yes"
"Administrative Professional - Short Form","Assessment for clerical and administrative roles.","Entry-Level","English (USA)","36","Ability & Aptitude;Knowledge & Skills;Personality & Behavior","Yes"
"Agency Manager Solution","Assessment for mid-level sales management roles.","Front Line Manager;Manager;Supervisor","English (USA)","51","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior;Simulation","Yes"
"Apprentice + 8.0 Job Focused Assessment","Short cognitive assessment for entry-level apprenticeship roles.","General Population;Graduate;Entry-Level","English International;German","30","Biodata & Situational Judgement;Personality & Behavior","Yes"
"Apprentice 8.0 Job Focused Assessment","Short assessment for entry-level apprenticeship roles.","Entry-Level;General Population;Graduate","English International;German;French","20","Biodata & Situational Judgement;Personality & Behavior","Yes"
"Bank Administrative Assistant - Short Form","Assessment for entry-level clerical roles in banking.","Entry-Level","English (USA)","35","Ability & Aptitude;Biodata & Situational Judgement;Knowledge & Skills","Yes"
"Bank Collections Agent - Short Form","Assessment for entry-level collections roles in financial call centers.","Entry-Level","English (USA)","45","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Bank Operations Supervisor - Short Form","Assessment for entry-level bank supervisory roles.","Front Line Manager;Manager;Supervisor","English (USA)","45","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior;Simulation","Yes"
"Bilingual Spanish Reservation Agent Solution","Assessment for bilingual hospitality reservation roles.","Entry-Level","English (USA);Latin American Spanish","43","Biodata & Situational Judgement;Personality & Behavior;Simulation;Ability & Aptitude","Yes"
"Bookkeeping, Accounting, Auditing Clerk Short Form","Assessment for entry-level financial record-keeping roles.","Entry-Level","English (USA)","49","Personality & Behavior;Simulation;Knowledge & Skills","Yes"
"Cashier Solution","Assessment for entry-level retail cashier roles.","Entry-Level","English (USA)","28","Biodata & Situational Judgement;Ability & Aptitude;Personality & Behavior","Yes"
"Contact Center Sales & Service + 8.0","Assessment for contact center roles with sales and service focus.","Entry-Level","English International;English (USA)","41","Personality & Behavior;Biodata & Situational Judgement;Competencies;Ability & Aptitude;Simulation","Yes"
"Contact Center Sales & Service 8.0","Assessment for sales-focused contact center roles.","Entry-Level","English International;English (USA)","31","Simulation;Biodata & Situational Judgement;Competencies;Personality & Behavior","Yes"
"Contact Center Team Lead/Coach - Short Form","Assessment for entry-level contact center supervisory roles.","Front Line Manager;Professional Individual Contributor;Supervisor","English (USA)","45","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior;Simulation","Yes"
"Contact Centre Agent Solution - UK","Assessment for entry-level UK contact center roles.","Entry-Level","English International","39","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior;Simulation","Yes"
"Customer Service - Short Form","Assessment for entry-level customer service roles.","Entry-Level","English (USA);English International","42","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Customer Service - Short Form - UK","Assessment for entry-level UK customer service roles.","Entry-Level","English International","42","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Customer Service with Sales - Short Form","Assessment for customer service roles with sales focus.","Entry-Level","English (USA)","44","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Director - Short Form","Assessment for senior-level director roles.","Director","English (USA)","69","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"District/Regional Manager Solution","Assessment for multi-store managerial roles.","Manager","English (USA)","65","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Entry Level Cashier 7.1 (Americas)","Assessment for entry-level retail cashier roles.","Entry-Level","French (Canada);Latin American Spanish;English (USA);English International","18","Biodata & Situational Judgement;Personality & Behavior;Ability & Aptitude","Yes"
"Entry Level Cashier 7.1 (International)","Assessment for entry-level retail cashier roles.","Entry-Level","English (USA)","18","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Entry Level Sales Sift Out 7.1","Assessment for entry-level sales roles.","Entry-Level","Swedish;Chinese Simplified;Finnish;English (USA);Portuguese (Brazil);French;Danish;Italian;Arabic;Dutch;French (Canada);Latin American Spanish;English International;Norwegian;German","20","Competencies;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Event Sales Manager Solution","Assessment for hospitality event sales management roles.","Supervisor;Front Line Manager;Manager","English (USA)","50","Simulation;Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
"Executive - Short Form","Assessment for senior executive roles.","Executive","English (USA)","74","Ability & Aptitude;Biodata & Situational Judgement;Personality & Behavior","Yes"
